Fecha,Especie,Conteo,Ubicacion
2023-11-09,Pez A,25,Montaña
2023-04-10,Pez B,20,Rio
2023-11-22,Planta E,48,Bosque
2023-10-24,Insecto D,83,Montaña
2023-07-01,Insecto D,87,Lago
2023-06-23,Pez A,24,Lago
2023-11-12,Ave C,11,Lago
2023-12-30,Pez A,98,Montaña
2023-07-07,Pez B,55,Rio
2023-02-26,Ave C,28,Montaña
2023-01-31,Pez B,69,Montaña
2023-03-25,Planta E,63,Bosque
2023-06-01,Pez B,59,Montaña
2023-02-05,Planta E,5,Lago
2023-08-01,Planta E,51,Rio
2023-12-30,Pez B,21,Rio
2023-04-16,Pez B,12,Rio
2023-12-08,Planta E,50,Lago
2023-08-08,Ave C,4,Lago
2023-06-12,Planta E,42,Lago
2023-08-08,Insecto D,84,Lago
2023-09-27,Planta E,38,Lago
2023-04-30,Ave C,25,Montaña
2023-12-02,Insecto D,14,Lago
2023-07-01,Pez A,75,Lago
2023-04-16,Pez A,32,Lago
2023-08-05,Ave C,11,Lago
2023-07-24,Planta E,61,Rio
2023-03-11,Pez B,18,Lago
2023-02-13,Ave C,27,Montaña
2023-11-25,Insecto D,55,Montaña
2023-10-28,Insecto D,54,Montaña
2023-08-16,Pez A,82,Bosque
2023-07-03,Insecto D,87,Rio
2023-04-17,Ave C,75,Lago
2023-03-25,Insecto D,21,Bosque
2023-12-04,Ave C,44,Lago
2023-09-07,Pez B,5,Bosque
2023-12-29,Pez A,87,Bosque
2023-01-21,Insecto D,41,Montaña
2023-07-15,Ave C,59,Montaña
2023-06-27,Planta E,89,Bosque
2023-01-07,Pez A,54,Montaña
2023-03-11,Pez B,74,Bosque
2023-05-07,Ave C,22,Rio
2023-06-09,Pez B,83,Montaña
2023-09-05,Pez B,65,Montaña
2023-07-22,Insecto D,64,Montaña
2023-05-28,Insecto D,71,Rio
2023-05-23,Ave C,4,Bosque
2023-07-18,Planta E,65,Lago
2023-06-03,Ave C,15,Montaña
2023-05-22,Planta E,76,Bosque
2023-11-09,Pez B,22,Rio
2023-06-14,Pez A,86,Lago
2023-11-10,Ave C,47,Montaña
2023-01-21,Ave C,81,Rio
2023-03-23,Planta E,93,Rio
2023-03-10,Pez B,46,Lago
2023-05-11,Pez B,14,Bosque
2023-03-28,Planta E,50,Montaña
2023-08-06,Pez B,20,Montaña
2023-11-01,Insecto D,50,Bosque
2023-12-11,Pez A,33,Bosque
2023-12-07,Ave C,59,Bosque
2023-06-10,Pez A,43,Lago
2023-06-27,Ave C,79,Lago
2023-04-27,Insecto D,12,Montaña
2023-07-15,Pez B,40,Lago
2023-11-23,Planta E,20,Rio
2023-03-27,Insecto D,94,Montaña
2023-10-16,Pez A,38,Lago
2023-03-22,Planta E,3,Bosque
2023-06-01,Pez B,28,Rio
2023-03-02,Insecto D,56,Bosque
2023-03-02,Planta E,90,Montaña
2023-12-20,Insecto D,94,Bosque
2023-01-28,Insecto D,13,Lago
2023-02-12,Pez B,77,Lago
2023-06-18,Ave C,66,Montaña
2023-03-27,Planta E,37,Bosque
2023-06-26,Pez B,49,Montaña
2023-01-17,Insecto D,66,Bosque
2023-04-08,Pez B,36,Rio
2023-07-17,Ave C,54,Lago
2023-04-08,Planta E,26,Montaña
2023-03-06,Ave C,75,Rio
2023-11-26,Pez A,72,Rio
2023-12-07,Planta E,40,Montaña
2023-01-05,Ave C,43,Montaña
2023-01-02,Insecto D,22,Rio
2023-01-22,Planta E,20,Bosque
2023-04-22,Planta E,8,Rio
2023-02-26,Pez B,29,Montaña
2023-03-07,Insecto D,40,Rio
2023-11-26,Pez A,90,Bosque
2023-04-08,Ave C,30,Lago
2023-05-24,Pez B,81,Lago
2023-05-05,Ave C,84,Rio
2023-06-16,Pez A,55,Bosque
2023-03-27,Pez A,16,Lago
2023-03-17,Planta E,46,Rio
2023-12-10,Pez A,62,Rio
2023-10-21,Ave C,7,Bosque
2023-02-28,Insecto D,80,Montaña
2023-05-18,Insecto D,45,Rio
2023-04-09,Planta E,59,Montaña
2023-07-11,Ave C,56,Montaña
2023-08-31,Ave C,48,Lago
2023-11-15,Pez A,27,Montaña
2023-02-18,Ave C,53,Bosque
2023-02-01,Pez B,87,Lago
2023-10-04,Pez A,88,Lago
2023-01-20,Pez B,73,Lago
2023-06-03,Planta E,35,Rio
2023-03-09,Insecto D,51,Rio
2023-08-02,Planta E,84,Montaña
2023-05-23,Insecto D,37,Lago
2023-08-20,Planta E,81,Lago
2023-08-01,Ave C,95,Bosque
2023-03-20,Pez B,57,Montaña
2023-08-02,Insecto D,8,Bosque
2023-04-26,Pez A,79,Montaña
2023-04-02,Pez B,95,Montaña
2023-09-27,Pez A,94,Rio
2023-06-17,Pez B,20,Rio
2023-02-27,Pez B,53,Bosque
2023-10-11,Planta E,12,Montaña
2023-01-26,Insecto D,49,Lago
2023-03-07,Insecto D,17,Rio
2023-09-05,Pez B,64,Lago
2023-09-11,Ave C,42,Bosque
2023-02-13,Ave C,94,Rio
2023-04-07,Pez A,29,Rio
2023-02-11,Pez A,19,Montaña
2023-08-15,Planta E,11,Bosque
2023-09-19,Pez B,98,Montaña
2023-06-16,Pez A,50,Rio
2023-10-06,Pez A,71,Bosque
2023-03-30,Pez B,58,Rio
2023-06-27,Planta E,34,Bosque
2023-07-16,Pez A,20,Rio
2023-11-03,Planta E,50,Lago
2023-09-24,Insecto D,88,Lago
2023-09-25,Planta E,10,Montaña
2023-03-15,Ave C,32,Lago
2023-01-08,Ave C,52,Rio
2023-10-24,Planta E,15,Rio
2023-06-13,Ave C,84,Lago
2023-03-26,Insecto D,3,Montaña
2023-03-13,Pez B,37,Lago
2023-02-24,Ave C,40,Bosque
2023-02-16,Ave C,72,Bosque
2023-08-26,Planta E,40,Bosque
2023-04-14,Insecto D,56,Lago
2023-07-29,Pez B,23,Lago
2023-02-11,Planta E,11,Lago
2023-11-12,Planta E,64,Bosque
2023-09-25,Insecto D,8,Montaña
2023-09-20,Pez B,93,Rio
2023-12-02,Insecto D,94,Lago
2023-12-31,Pez B,56,Montaña
2023-09-16,Insecto D,60,Rio
2023-10-10,Planta E,10,Rio
2023-04-24,Planta E,39,Rio
2023-12-29,Pez A,28,Montaña
2023-02-09,Ave C,49,Montaña
2023-08-08,Insecto D,36,Bosque
2023-05-09,Pez A,13,Montaña
2023-01-08,Ave C,96,Montaña
2023-04-11,Insecto D,36,Montaña
2023-06-25,Pez B,26,Rio
2023-04-17,Ave C,86,Lago
2023-04-11,Planta E,4,Bosque
2023-09-17,Pez A,95,Lago
2023-09-03,Ave C,82,Lago
2023-10-02,Ave C,64,Montaña
2023-02-01,Planta E,38,Bosque
2023-05-17,Insecto D,88,Lago
2023-01-12,Pez B,87,Lago
2023-10-29,Planta E,22,Bosque
2023-01-16,Pez B,2,Montaña
2023-05-09,Insecto D,31,Lago
2023-03-04,Ave C,11,Rio
2023-04-19,Pez B,92,Lago
2023-01-21,Pez A,46,Rio
2023-06-07,Pez A,96,Montaña
2023-09-26,Planta E,62,Lago
2023-06-11,Insecto D,69,Bosque
2023-09-17,Planta E,64,Bosque
2023-04-12,Planta E,10,Lago
2023-08-11,Planta E,40,Montaña
2023-02-28,Pez A,24,Montaña
2023-09-04,Pez A,99,Bosque
2023-05-08,Planta E,44,Lago
2023-10-10,Pez A,60,Montaña
2023-11-21,Insecto D,62,Bosque
2023-01-25,Planta E,87,Rio
2023-05-11,Pez A,17,Lago
2023-12-19,Pez B,65,Rio
2023-07-15,Planta E,95,Rio
2023-10-08,Planta E,95,Montaña
2023-06-03,Insecto D,57,Montaña
2023-05-13,Ave C,55,Montaña
2023-08-15,Ave C,53,Lago
2023-07-08,Insecto D,56,Rio
2023-09-22,Insecto D,98,Lago
2023-05-14,Insecto D,9,Montaña
2023-07-30,Ave C,22,Rio
2023-03-01,Insecto D,13,Lago
2023-12-30,Pez A,89,Lago
2023-12-30,Planta E,48,Bosque
2023-08-01,Planta E,18,Lago
2023-08-04,Pez B,76,Montaña
2023-08-14,Pez B,40,Lago
2023-05-11,Planta E,17,Rio
2023-03-17,Pez A,15,Lago
2023-10-13,Ave C,15,Bosque
2023-10-04,Ave C,79,Rio
2023-06-05,Pez A,63,Rio
2023-09-05,Ave C,39,Bosque
2023-08-06,Insecto D,13,Montaña
2023-07-09,Planta E,81,Rio
2023-06-12,Planta E,32,Montaña
2023-06-29,Pez A,9,Rio
2023-02-03,Ave C,40,Rio
2023-02-10,Pez B,20,Montaña
2023-11-03,Pez B,90,Rio
2023-12-04,Ave C,91,Montaña
2023-11-10,Pez B,85,Bosque
2023-03-16,Pez A,82,Montaña
2023-10-06,Pez A,77,Bosque
2023-06-25,Ave C,80,Rio
2023-05-30,Pez B,73,Montaña
2023-09-30,Pez A,63,Rio
2023-11-21,Pez A,76,Montaña
2023-04-18,Insecto D,44,Bosque
2023-05-19,Insecto D,38,Bosque
2023-12-16,Pez A,83,Montaña
2023-09-28,Ave C,60,Bosque
2023-12-13,Planta E,71,Rio
2023-10-16,Planta E,99,Rio
2023-07-31,Pez A,48,Lago
2023-09-29,Pez A,18,Bosque
2023-03-07,Pez A,16,Rio
2023-09-05,Ave C,55,Montaña
2023-06-05,Insecto D,39,Bosque
2023-02-16,Pez A,68,Rio
2023-07-20,Pez A,59,Bosque
2023-05-28,Pez B,89,Montaña
2023-05-04,Ave C,96,Rio
2023-01-01,Pez A,62,Lago
2023-09-04,Pez B,13,Lago
2023-12-09,Planta E,81,Bosque
